Label,cg20855160,cg07614747,cg21009747,cg25792518,cg03497652
Cancer,0.0783822261800881,0.16034805525865803,0.9796428347202399,0.9517308124992679,0.972620451217772
Cancer,0.549381108523067,0.449255111907189,0.36017895296708896,0.8975189395916259,0.9516204386700079
Cancer,0.41691533493584604,0.13564787785985402,0.9760299174357091,0.8358477347112231,0.9611505996171421
Cancer,0.0277655448050082,0.0589306288532809,0.9002513638846891,0.960220702987908,0.9499160869752892
Cancer,0.0402266774999767,0.0960803821927095,0.970788709998264,0.898870969535864,0.9392218095220579
Cancer,0.0923206107415404,0.10751187519021099,0.969787819401996,0.776801821348865,0.930497018377172
Cancer,0.86969293906546,0.0524057791212956,0.975815623064704,0.9704086770206909,0.962414130969258
Cancer,0.167008211813977,0.324178511461456,0.9777555702379191,0.9224147456623492,0.9726845671645291
Cancer,0.10350890787284199,0.15429963320225398,0.9629740333584309,0.8392791543661908,0.935104340541445
Cancer,0.0506630796480878,0.086674988447603,0.412562858978408,0.9674275357568259,0.938482223947676
Cancer,0.345554652133313,0.14766862956059,0.969808401871104,0.835416276309208,0.9658355231462081
Cancer,0.130147531521313,0.16920203083362698,0.977588563176752,0.9382714529585899,0.945640765333014
Cancer,0.119199830010749,0.18763764544184805,0.818223367047514,0.7987690780855301,0.818183517100931
Cancer,0.0359407670511702,0.0908973931472726,0.11103525460651402,0.501358215085776,0.722567827813767
Cancer,0.157682119951418,0.581179437892866,0.9069059747347701,0.8061116804746641,0.960689048503742
Cancer,0.0900401068800224,0.124120598229509,0.974970113830453,0.9489414397943041,0.952708665344058
Cancer,0.100740470334295,0.15529621245716402,0.9714189738164741,0.8363659989756279,0.961873276553285
Cancer,0.331085723370962,0.292870150355737,0.966704955674691,0.437307703743364,0.916415697420029
Cancer,0.12712158740284699,0.14208375404824403,0.9793849734300171,0.94956821241451,0.9677746251944591
Cancer,0.0483807443803171,0.0410651695422324,0.972154052929195,0.922374147854997,0.9551480906683059
Cancer,0.17242849729835502,0.15694967702346999,0.9544794574367529,0.8062806821378091,0.9784540598405992
Cancer,0.27949426488507206,0.15166643412874098,0.97689941656441,0.8495150660217349,0.9099503397916229
Cancer,0.212127313150662,0.100609727996786,0.977227786498266,0.9607562956242051,0.96051382397735
Cancer,0.0735826385347145,0.220835530754202,0.985535411105774,0.969969649847756,0.97974579014259
Cancer,0.10266311940732302,0.15127395609628697,0.9706452070591941,0.86207057235529,0.96281571059998
Cancer,0.0494769919406008,0.152131907420641,0.973999528642448,0.849497226441983,0.9524152520292092
Cancer,0.160009271373272,0.157465237519204,0.97925788916611,0.9472052297931629,0.9382942206354
Cancer,0.35737691094272706,0.29024574107113,0.975789721694481,0.634427268756298,0.958368833777702
Cancer,0.0675982253390289,0.149136899286937,0.977044370331925,0.911907005088032,0.9307491238642679
Cancer,0.21738777542358398,0.32390413686938396,0.974254914577797,0.8713808897796519,0.835833961158947
Cancer,0.125281017289935,0.0686263144283273,0.980584718876915,0.884779384417005,0.969936075720634
Cancer,0.0739046929600635,0.11990323872264098,0.9783483250869721,0.9346949763531929,0.9476587841325591
Cancer,0.114052785684286,0.15018577621432097,0.9802199180190821,0.9582412022171619,0.96720996218179
Cancer,0.19290220067206698,0.11025080853405399,0.9801581726101061,0.917109526537692,0.97023368071909
Cancer,0.23103535450657997,0.199846495419047,0.9707106105569259,0.8601805119966741,0.915690857855807
Cancer,0.543658211146683,0.294466285656302,0.976327199377576,0.8218249210089609,0.96246321408085
Cancer,0.30273569928002303,0.387575128843629,0.9736370758860359,0.875265894533174,0.950534258938639
Cancer,0.120524120020828,0.0664412872532838,0.982301170945907,0.9462266731598249,0.9680747611808119
Cancer,0.0597729894689819,0.0947843536149515,0.9651094585018779,0.9085955006466692,0.9640686304160899
Cancer,0.213242884406378,0.21205060598246697,0.979463013159553,0.84715363934984,0.964802456883798
Cancer,0.0478215394896689,0.08341045881967402,0.9830948535611209,0.9656951856731429,0.9683839582995001
Cancer,0.191616048240629,0.155911110057524,0.969012006415633,0.739586145705557,0.9462518173000601
Cancer,0.0463632856864182,0.23320951321232103,0.9684074022947909,0.953684713512854,0.902762612156907
Cancer,0.0796638556066455,0.113773712507036,0.9818978608001441,0.865030251679511,0.9694310189016999
Cancer,0.129861493108132,0.23130205021355,0.9802505340887541,0.9440477606540271,0.824665047576488
Cancer,0.0319932369389987,0.0923539044334456,0.9805723074636559,0.16924670955403498,0.961704294296885
Cancer,0.14048657770997303,0.162539118167691,0.9817460732851021,0.20812152216267002,0.9361471062253891
Cancer,0.150003512750375,0.6398177797750539,0.979149229421007,0.865493535769557,0.955181096640999
Cancer,0.5573509474776078,0.458871229012711,0.9810120512690191,0.5731651903670091,0.722880322010464
Cancer,0.628732589872691,0.42487747384816,0.7267971068949631,0.560509525768985,0.7540418579134409
Cancer,0.0407095599273202,0.0653733841433223,0.9745585399138009,0.9702329819924541,0.9677042682022191
Cancer,0.0617397606379943,0.0788033568623981,0.975109715747104,0.8844121644746659,0.9501288400181421
Cancer,0.07598076903779599,0.11620658315762701,0.9805356377124891,0.957487384993985,0.978600676018671
Cancer,0.0894918316715446,0.10980241058340899,0.978448810884386,0.95722470946469,0.969372051800128
Cancer,0.154268162753132,0.213600124900968,0.9750420155801941,0.8382457121025841,0.9578806392872521
Cancer,0.30478921979394297,0.144634470420066,0.938652271851538,0.783041535673445,0.905898963156253
Cancer,0.0393378071588172,0.118559319664846,0.9763567003380279,0.932239085127931,0.9654886831128799
